,id_generacion,id_hora,fecha_hora,inyeccion_retiro,tipo,subtipo,fecha,hora,minuto,hora_decimal,tipo_subtipo
0,761928,19131,2024-03-08 00:00:00,0.0,Bess,Inyección,2024-03-08,0,0,0.0,Bess | Inyección
48,766497,19131,2024-03-08 00:00:00,140.0,Eólicas,-,2024-03-08,0,0,0.0,Eólicas | -
49,766528,19131,2024-03-08 00:00:00,8.0,Eólicas,-,2024-03-08,0,0,0.0,Eólicas | -
50,766559,19131,2024-03-08 00:00:00,22.0,Eólicas,-,2024-03-08,0,0,0.0,Eólicas | -
51,766590,19131,2024-03-08 00:00:00,24.0,Eólicas,-,2024-03-08,0,0,0.0,Eólicas | -
52,766621,19131,2024-03-08 00:00:00,122.0,Eólicas,-,2024-03-08,0,0,0.0,Eólicas | -
53,766652,19131,2024-03-08 00:00:00,5.0,Eólicas,-,2024-03-08,0,0,0.0,Eólicas | -
54,766683,19131,2024-03-08 00:00:00,16.0,Eólicas,-,2024-03-08,0,0,0.0,Eólicas | -
55,766714,19131,2024-03-08 00:00:00,46.0,Eólicas,-,2024-03-08,0,0,0.0,Eólicas | -
56,766745,19131,2024-03-08 00:00:00,0.0,Eólicas,-,2024-03-08,0,0,0.0,Eólicas | -
57,766776,19131,2024-03-08 00:00:00,0.0,Eólicas,-,2024-03-08,0,0,0.0,Eólicas | -
58,766807,19131,2024-03-08 00:00:00,37.0,Eólicas,-,2024-03-08,0,0,0.0,Eólicas | -
59,766838,19131,2024-03-08 00:00:00,21.0,Eólicas,-,2024-03-08,0,0,0.0,Eólicas | -
60,766869,19131,2024-03-08 00:00:00,0.0,Eólicas,-,2024-03-08,0,0,0.0,Eólicas | -
61,766900,19131,2024-03-08 00:00:00,0.0,Eólicas,-,2024-03-08,0,0,0.0,Eólicas | -
62,772046,19131,2024-03-08 00:00:00,2.0,Eólicas,-,2024-03-08,0,0,0.0,Eólicas | -
63,772077,19131,2024-03-08 00:00:00,4.0,Eólicas,-,2024-03-08,0,0,0.0,Eólicas | -
64,772108,19131,2024-03-08 00:00:00,5.0,Eólicas,-,2024-03-08,0,0,0.0,Eólicas | -
65,772139,19131,2024-03-08 00:00:00,1.0,Eólicas,-,2024-03-08,0,0,0.0,Eólicas | -
66,772170,19131,2024-03-08 00:00:00,0.0,Eólicas,-,2024-03-08,0,0,0.0,Eólicas | -
67,772201,19131,2024-03-08 00:00:00,8.0,Eólicas,-,2024-03-08,0,0,0.0,Eólicas | -
68,772232,19131,2024-03-08 00:00:00,0.0,Eólicas,-,2024-03-08,0,0,0.0,Eólicas | -
69,762233,19131,2024-03-08 00:00:00,17.0,Geotérmica,-,2024-03-08,0,0,0.0,Geotérmica | -
70,762234,19131,2024-03-08 00:00:00,12.0,Geotérmica,-,2024-03-08,0,0,0.0,Geotérmica | -
71,762235,19131,2024-03-08 00:00:00,12.0,Geotérmica,-,2024-03-08,0,0,0.0,Geotérmica | -
72,762326,19131,2024-03-08 00:00:00,84.0,Hidroeléctricas,Embalse,2024-03-08,0,0,0.0,Hidroeléctricas | Embalse
73,762327,19131,2024-03-08 00:00:00,41.0,Hidroeléctricas,Embalse,2024-03-08,0,0,0.0,Hidroeléctricas | Embalse
74,762328,19131,2024-03-08 00:00:00,0.0,Hidroeléctricas,Embalse,2024-03-08,0,0,0.0,Hidroeléctricas | Embalse
75,762405,19131,2024-03-08 00:00:00,147.0,Hidroeléctricas,Embalse,2024-03-08,0,0,0.0,Hidroeléctricas | Embalse
76,762436,19131,2024-03-08 00:00:00,84.0,Hidroeléctricas,Embalse,2024-03-08,0,0,0.0,Hidroeléctricas | Embalse
77,762467,19131,2024-03-08 00:00:00,79.0,Hidroeléctricas,Embalse,2024-03-08,0,0,0.0,Hidroeléctricas | Embalse
78,762498,19131,2024-03-08 00:00:00,184.0,Hidroeléctricas,Embalse,2024-03-08,0,0,0.0,Hidroeléctricas | Embalse
79,762560,19131,2024-03-08 00:00:00,253.0,Hidroeléctricas,Embalse,2024-03-08,0,0,0.0,Hidroeléctricas | Embalse
80,762591,19131,2024-03-08 00:00:00,47.0,Hidroeléctricas,Embalse,2024-03-08,0,0,0.0,Hidroeléctricas | Embalse
81,762622,19131,2024-03-08 00:00:00,224.0,Hidroeléctricas,Embalse,2024-03-08,0,0,0.0,Hidroeléctricas | Embalse
82,762653,19131,2024-03-08 00:00:00,253.0,Hidroeléctricas,Embalse,2024-03-08,0,0,0.0,Hidroeléctricas | Embalse
